,person_age,person_gender,person_education,person_income,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,credit_score,previous_loan_defaults_on_file,loan_status
166,24.0,0,3,240894.0,2,12000.0,4,13.49,0.05,678,0,0
167,21.0,0,1,240980.0,2,16000.0,1,14.65,0.07,557,1,0
168,25.0,0,2,65742.0,0,25000.0,4,16.82,0.38,672,0,1
169,23.0,0,2,72713.0,0,25000.0,0,12.73,0.34,613,0,1
170,23.0,0,1,72627.0,0,25000.0,0,10.25,0.34,566,0,1
171,21.0,0,3,72843.0,0,25000.0,1,10.99,0.34,718,0,1
172,25.0,0,1,75504.0,0,25000.0,2,12.73,0.33,484,0,1
173,22.0,1,1,68824.0,0,25000.0,4,14.96,0.36,634,0,1
174,23.0,1,2,241167.0,2,28000.0,1,11.01,0.12,653,1,0
175,21.0,0,2,241060.0,2,25000.0,5,13.99,0.1,699,0,0
176,24.0,0,1,240855.0,2,24000.0,3,7.49,0.1,656,1,0
177,26.0,0,1,241030.0,2,15000.0,1,14.79,0.06,626,1,0
178,25.0,0,1,240895.0,2,15500.0,5,11.99,0.06,659,0,0
179,24.0,1,1,240932.0,0,10000.0,1,8.49,0.04,604,1,0
180,24.0,0,3,80145.0,0,25000.0,1,9.91,0.31,636,0,1
181,22.0,0,0,80303.0,0,25000.0,1,13.06,0.31,554,0,1
182,22.0,0,1,241048.0,2,9000.0,5,6.17,0.04,587,1,0
184,25.0,0,2,241005.0,0,18000.0,1,16.32,0.07,708,1,0
185,25.0,1,0,240768.0,2,12000.0,3,10.38,0.05,669,1,0
186,25.0,0,3,241201.0,2,23050.0,0,14.35,0.1,578,0,0
187,24.0,0,2,240920.0,2,20000.0,5,11.01,0.08,615,0,0
188,24.0,1,0,72919.0,0,25000.0,5,11.01,0.34,553,0,1
189,21.0,0,0,18008.0,1,3000.0,4,11.01,0.17,635,0,1
190,26.0,1,3,81238.0,0,25000.0,0,15.21,0.31,531,0,1
191,23.0,0,1,80868.0,0,25000.0,1,7.9,0.31,621,0,1
192,24.0,0,2,81537.0,0,25000.0,3,10.99,0.31,674,0,1
193,24.0,1,3,82741.0,0,25000.0,0,14.09,0.3,688,0,1
194,25.0,1,1,83901.0,0,25000.0,0,17.49,0.3,597,0,1
195,25.0,0,3,240717.0,2,12000.0,1,11.48,0.05,640,0,0
196,26.0,1,3,226744.0,2,20000.0,3,17.74,0.09,621,0,1
197,26.0,1,2,241114.0,2,3000.0,0,13.92,0.01,608,1,0
198,25.0,0,2,85284.0,0,25000.0,1,15.21,0.29,653,0,1
199,22.0,1,2,18152.0,1,4000.0,2,10.99,0.22,585,0,1
200,24.0,1,1,84871.0,0,25000.0,1,11.86,0.29,569,0,1
201,24.0,0,2,18294.0,1,6000.0,0,7.49,0.33,587,0,1
202,24.0,0,2,68029.0,0,25000.0,2,16.49,0.37,631,0,1
203,25.0,1,1,80001.0,0,25000.0,3,15.33,0.31,592,0,1
204,26.0,1,1,79875.0,0,25000.0,4,11.58,0.31,679,0,1
205,25.0,0,1,18449.0,1,5375.0,1,5.79,0.29,645,0,1
206,25.0,0,3,88153.0,0,25000.0,2,13.11,0.28,669,0,1
207,23.0,1,2,90109.0,0,25000.0,2,10.36,0.28,653,0,1
208,25.0,0,2,90938.0,0,25000.0,5,10.36,0.27,577,0,1
209,24.0,0,1,231335.0,0,22000.0,2,11.01,0.1,668,1,0
210,21.0,0,2,231829.0,2,20000.0,3,6.54,0.09,629,0,0
211,25.0,1,3,230516.0,2,10000.0,2,12.53,0.04,643,0,0
212,26.0,0,2,229626.0,2,15000.0,0,11.01,0.07,626,0,0
213,22.0,0,2,228907.0,2,10000.0,3,11.01,0.04,560,1,0
214,24.0,0,2,90938.0,0,25000.0,1,10.25,0.27,648,0,1
215,22.0,0,3,86284.0,0,25000.0,1,15.95,0.29,648,0,1
216,26.0,0,3,228774.0,2,20000.0,3,12.18,0.09,669,1,0
217,23.0,0,1,229027.0,1,24000.0,0,11.83,0.1,536,1,0
218,23.0,0,1,94789.0,0,25000.0,5,11.01,0.26,548,0,1
219,23.0,1,0,94780.0,0,25000.0,3,10.62,0.26,667,0,1
220,23.0,0,1,95298.0,0,25000.0,3,10.74,0.26,676,0,1
221,25.0,0,3,223944.0,1,10000.0,3,10.25,0.04,570,1,0
222,24.0,0,1,222629.0,2,35000.0,1,12.42,0.16,623,0,0
223,25.0,1,2,222973.0,0,15000.0,3,15.27,0.07,652,1,0
224,24.0,1,1,75240.0,0,25000.0,2,15.33,0.33,625,0,1
225,23.0,1,1,96143.0,0,25000.0,3,15.21,0.26,642,0,1
226,21.0,0,2,18064.0,1,6250.0,3,14.72,0.35,580,0,1
227,24.0,0,3,96627.0,0,25000.0,0,15.7,0.26,622,0,1
228,24.0,0,2,96309.0,0,25000.0,1,13.35,0.26,581,0,1
229,21.0,1,1,18421.0,2,1500.0,2,11.01,0.08,623,0,0
230,24.0,0,0,96836.0,0,25000.0,1,6.62,0.26,583,0,1
231,26.0,0,2,96947.0,0,25000.0,5,13.61,0.26,645,0,1
232,22.0,1,3,222975.0,0,25000.0,2,11.36,0.11,593,1,0
233,26.0,0,3,222985.0,1,5000.0,0,7.68,0.02,659,1,0
234,24.0,1,2,223064.0,0,22000.0,4,14.46,0.1,655,1,0
235,23.0,0,3,221559.0,1,2500.0,1,11.83,0.01,583,1,0
236,24.0,1,3,207712.0,2,20000.0,5,13.47,0.1,582,0,1
237,24.0,1,2,220872.0,2,20000.0,2,11.49,0.09,504,1,0
238,22.0,0,1,220518.0,2,1000.0,1,11.01,0.0,551,1,0
239,25.0,1,3,220510.0,2,15000.0,0,6.03,0.07,529,1,0
240,23.0,1,2,89818.0,0,25000.0,5,16.35,0.28,674,0,1
241,26.0,1,1,90006.0,0,25000.0,5,11.01,0.28,595,0,1
242,25.0,1,1,98704.0,0,25000.0,5,7.29,0.25,597,0,1
243,23.0,0,1,98967.0,0,25000.0,2,11.36,0.25,566,0,1
244,24.0,0,1,99435.0,0,25000.0,3,10.25,0.25,666,0,0
245,24.0,1,2,100658.0,0,25000.0,1,11.12,0.25,695,0,0
246,24.0,1,2,100435.0,0,25000.0,0,12.92,0.25,576,1,0
247,24.0,0,1,216925.0,0,18000.0,1,18.64,0.08,651,1,0
248,23.0,1,2,216891.0,2,28000.0,0,7.51,0.13,633,1,0
249,23.0,0,0,18512.0,1,4000.0,4,16.7,0.22,566,0,1
250,22.0,0,0,18367.0,1,2100.0,0,11.14,0.11,583,0,0
251,22.0,1,3,102317.0,0,25000.0,0,18.3,0.24,586,1,0
252,24.0,1,3,103400.0,0,25000.0,2,10.62,0.24,592,1,0
253,24.0,0,2,217134.0,2,14000.0,3,11.99,0.06,598,1,0
254,26.0,0,0,217024.0,2,12000.0,3,9.63,0.06,637,1,0
255,25.0,1,1,172215.0,2,10000.0,2,18.25,0.06,628,0,1
256,23.0,0,0,18831.0,2,6000.0,5,11.01,0.32,667,0,1
257,24.0,0,3,105349.0,0,25000.0,4,14.84,0.24,621,1,0
258,24.0,0,2,91184.0,0,25000.0,3,14.7,0.27,668,0,1
259,23.0,1,1,91886.0,0,25000.0,5,16.02,0.27,544,0,1
260,23.0,0,3,80452.0,0,25000.0,2,15.37,0.31,699,0,1
261,25.0,1,2,108758.0,0,25000.0,2,10.99,0.23,611,0,0
262,21.0,0,3,18916.0,1,6200.0,4,7.9,0.33,615,0,1
263,26.0,1,1,217234.0,1,25000.0,0,10.99,0.12,559,1,0
264,24.0,1,1,217017.0,1,21000.0,1,11.48,0.1,577,1,0
265,25.0,0,1,216874.0,1,20000.0,2,14.26,0.09,657,1,0
266,26.0,0,3,216833.0,1,10000.0,4,8.0,0.05,676,1,0
267,25.0,0,2,216483.0,2,9950.0,3,11.26,0.05,601,0,0
268,23.0,1,0,19000.0,1,4475.0,2,11.01,0.24,647,0,1
269,23.0,1,0,94363.0,0,25000.0,3,16.32,0.26,576,0,1
270,25.0,0,0,80570.0,0,25000.0,2,17.93,0.31,612,0,1
271,23.0,0,2,109167.0,0,25000.0,5,11.36,0.23,678,0,0
272,24.0,1,3,95753.0,0,25000.0,5,14.96,0.26,542,0,1
273,24.0,1,3,110935.0,0,25000.0,0,13.43,0.23,709,1,0
274,25.0,0,3,111490.0,0,25000.0,4,12.69,0.22,622,1,0
275,24.0,0,3,111729.0,0,25000.0,3,12.73,0.22,642,1,0
276,23.0,1,1,113396.0,0,25000.0,3,15.21,0.22,660,0,0
277,23.0,1,2,19175.0,2,1750.0,2,12.68,0.09,587,1,0
278,23.0,1,1,85787.0,0,25000.0,2,19.04,0.29,646,0,1
279,25.0,1,0,102114.0,0,25000.0,5,15.95,0.24,637,0,1
280,26.0,0,2,211005.0,2,2600.0,3,8.9,0.01,718,0,0
281,25.0,0,0,210903.0,2,8000.0,4,7.9,0.04,588,1,0
282,22.0,0,3,210555.0,2,18000.0,1,11.01,0.09,652,0,0
283,23.0,0,2,210937.0,2,21000.0,0,11.99,0.1,620,1,0
284,23.0,0,1,19062.0,1,4000.0,5,13.98,0.21,667,0,1
285,23.0,1,3,18926.0,1,4600.0,3,10.99,0.24,688,0,1
286,22.0,0,3,106694.0,0,25000.0,5,15.58,0.23,667,0,1
287,25.0,0,0,90718.0,0,25000.0,2,10.99,0.28,692,0,1
288,25.0,0,2,106668.0,0,25000.0,3,14.96,0.23,562,0,1
289,25.0,0,1,19158.0,1,1750.0,4,15.31,0.09,625,1,0
290,26.0,0,1,106419.0,0,25000.0,3,15.65,0.23,649,0,1
291,25.0,1,1,120696.0,0,25000.0,3,9.33,0.21,545,1,0
292,23.0,0,1,19065.0,2,3600.0,0,13.47,0.19,540,0,1
293,24.0,1,3,124083.0,0,25000.0,0,10.36,0.2,637,1,0
294,24.0,0,3,111673.0,0,25000.0,4,16.77,0.22,600,0,1
295,23.0,0,1,112633.0,0,25000.0,5,14.59,0.22,633,0,1
296,22.0,0,1,210938.0,0,3500.0,3,11.91,0.02,588,0,0
297,23.0,1,3,210720.0,2,7200.0,1,8.38,0.03,624,1,0
298,25.0,0,1,210705.0,0,9000.0,3,10.59,0.04,525,1,0
299,25.0,0,1,209997.0,2,8800.0,5,14.27,0.04,616,1,0
300,26.0,1,0,209873.0,0,12000.0,5,12.53,0.06,675,0,0
301,25.0,1,3,195268.0,2,25000.0,5,16.0,0.13,662,0,1
302,26.0,0,0,209393.0,2,10000.0,3,11.71,0.05,585,1,0
303,21.0,0,0,18773.0,1,3175.0,4,11.54,0.17,686,0,1
304,25.0,1,2,116439.0,0,25000.0,4,15.68,0.21,595,0,1
305,21.0,1,3,19169.0,2,1500.0,1,10.59,0.08,537,1,0
306,24.0,1,1,118417.0,0,25000.0,4,12.61,0.21,625,0,1
307,26.0,1,1,133476.0,0,25000.0,0,11.01,0.19,641,1,0
308,23.0,1,3,19312.0,2,2800.0,0,8.49,0.14,661,0,1
309,25.0,0,1,192351.0,0,30000.0,0,17.27,0.16,577,0,1
310,24.0,0,2,206648.0,0,18000.0,5,8.9,0.09,537,1,0
311,25.0,1,1,205046.0,2,10000.0,2,11.11,0.05,646,1,0
312,24.0,0,1,190735.0,0,25000.0,4,14.59,0.13,653,0,1
313,26.0,1,3,204872.0,0,13000.0,3,12.42,0.06,654,0,0
314,24.0,0,3,100758.0,0,25000.0,2,11.01,0.25,635,0,1
315,24.0,1,0,133231.0,0,25000.0,4,15.7,0.19,675,1,0
316,22.0,1,0,18923.0,1,2500.0,4,12.53,0.13,618,0,1
317,25.0,1,0,161894.0,0,5000.0,2,16.49,0.03,609,0,1
318,25.0,1,2,205144.0,2,20000.0,1,7.49,0.1,545,1,0
319,22.0,1,1,121617.0,0,25000.0,5,14.96,0.21,629,0,1
320,25.0,0,3,136206.0,0,25000.0,2,12.73,0.18,539,0,0
321,24.0,0,0,144915.0,0,25000.0,1,10.65,0.17,593,1,0
322,25.0,1,1,145233.0,0,25000.0,2,10.74,0.17,683,0,0
323,23.0,0,2,145002.0,0,25000.0,1,9.99,0.17,670,1,0
324,24.0,0,0,110953.0,0,25000.0,2,15.33,0.23,662,0,1
325,21.0,1,1,19414.0,1,1000.0,3,7.29,0.05,681,1,0
326,26.0,0,1,130096.0,0,25000.0,0,15.05,0.19,636,0,1
327,26.0,0,0,157292.0,0,25000.0,0,10.75,0.16,677,1,0
328,23.0,1,2,156995.0,0,25000.0,1,16.02,0.16,656,1,0
329,23.0,1,3,156952.0,0,25000.0,3,11.49,0.16,674,1,0
330,25.0,1,3,205005.0,1,20000.0,1,12.53,0.1,587,0,0
331,26.0,1,2,205060.0,2,12000.0,3,13.57,0.06,658,0,0
332,22.0,0,1,203782.0,0,14000.0,0,11.14,0.07,581,1,0
333,26.0,0,1,203368.0,0,24250.0,2,12.87,0.12,606,1,0
334,23.0,1,3,203403.0,0,20000.0,1,11.58,0.1,648,0,0
335,24.0,1,3,202715.0,0,1800.0,4,11.12,0.01,563,1,0
336,25.0,1,0,202525.0,2,35000.0,0,10.65,0.17,589,1,0
337,24.0,0,3,161487.0,0,25000.0,5,10.37,0.15,641,0,0
338,24.0,0,3,19677.0,1,3300.0,4,6.39,0.17,637,0,1
339,24.0,0,1,161952.0,0,25000.0,0,16.07,0.15,578,1,0
340,25.0,1,2,161560.0,0,25000.0,2,10.62,0.15,660,1,0
341,25.0,0,1,19423.0,1,3200.0,3,18.09,0.16,586,0,1
342,25.0,0,3,163134.0,0,25000.0,1,11.36,0.15,567,1,0
343,26.0,1,2,163683.0,0,25000.0,5,12.53,0.15,582,1,0
344,25.0,1,2,174972.0,0,25000.0,1,9.99,0.14,712,1,0
345,23.0,0,1,181016.0,0,25000.0,1,10.36,0.14,674,0,0
346,23.0,1,0,198920.0,2,9600.0,1,5.99,0.05,532,1,0
347,22.0,1,0,184800.0,2,24000.0,5,15.62,0.13,670,0,1
348,24.0,0,0,198862.0,2,20000.0,0,10.37,0.1,658,0,0
349,25.0,0,3,199407.0,2,25000.0,4,19.74,0.13,669,0,0
350,21.0,0,2,198803.0,2,20000.0,1,6.91,0.1,681,1,0
351,23.0,0,3,20044.0,1,6000.0,2,7.9,0.3,618,0,1
352,23.0,1,2,20401.0,2,2275.0,5,13.06,0.11,573,1,0
353,23.0,1,1,19859.0,1,2000.0,0,6.39,0.1,491,1,0
354,23.0,0,0,178660.0,0,25000.0,5,14.93,0.14,590,0,1
355,23.0,1,1,20421.0,2,5600.0,2,12.84,0.27,587,0,1
356,24.0,0,0,20353.0,1,3625.0,3,17.14,0.18,648,0,1
357,22.0,0,0,20297.0,2,5500.0,3,7.14,0.27,687,0,1
358,25.0,0,2,210932.0,0,25000.0,0,8.9,0.12,621,0,0
359,22.0,1,1,20405.0,1,2000.0,0,12.42,0.1,590,1,0
360,24.0,0,3,223194.0,0,25000.0,4,12.68,0.11,676,1,0
361,25.0,1,3,195560.0,0,25000.0,0,11.03,0.13,677,1,0
362,26.0,0,2,194140.0,0,30000.0,3,7.9,0.15,651,1,0
363,22.0,0,1,193337.0,2,35000.0,2,10.65,0.18,602,1,0
364,25.0,0,1,270992.0,0,25000.0,3,11.86,0.09,652,0,0
365,25.0,0,3,20221.0,1,5000.0,0,8.94,0.25,572,0,1
